d,CA_1,CA_2,CA_3,CA_4,TX_1,TX_2,TX_3,WI_1,WI_2,WI_3,date,CA_1_rolling_28,CA_2_rolling_28,CA_3_rolling_28,CA_4_rolling_28,TX_1_rolling_28,TX_2_rolling_28,TX_3_rolling_28,WI_1_rolling_28,WI_2_rolling_28,WI_3_rolling_28
d_1044,5882,4043,7502,2447,3644,4974,3748,3928,4453,3829,2013-12-07,4116.75,2876.1785714285716,5810.857142857143,2168.5714285714284,2807.6071428571427,3754.6785714285716,2978.6785714285716,2853.285714285714,3773.714285714286,3063.3928571428573
d_1045,5462,3629,7029,2652,3646,4612,3298,2804,3895,3397,2013-12-08,4104.25,2872.714285714286,5781.178571428572,2166.6071428571427,2802.285714285714,3744.9285714285716,2971.3571428571427,2827.3214285714284,3769.464285714286,3039.285714285714
d_1046,4082,2502,6002,2243,2549,3428,2878,2367,4482,3120,2013-12-09,4093.964285714286,2857.214285714286,5747.821428571428,2166.4285714285716,2783.3214285714284,3730.3214285714284,2951.1785714285716,2832.714285714286,3782.0714285714284,3036.3928571428573
d_1047,4296,2530,5689,2205,2520,3379,2471,2313,3375,2644,2013-12-10,4132.0,2868.1428571428573,5765.464285714285,2169.464285714286,2770.035714285714,3719.1785714285716,2934.6428571428573,2831.1785714285716,3740.464285714286,3020.3928571428573
d_1048,3366,2479,5251,1786,2613,3489,2540,2465,4050,2872,2013-12-11,4141.928571428572,2877.6428571428573,5760.642857142857,2164.464285714286,2767.0714285714284,3729.9285714285716,2931.0,2842.3571428571427,3759.3928571428573,3035.6785714285716
d_1049,3451,2340,4896,1666,2626,3448,2695,2743,4677,3127,2013-12-12,4149.571428571428,2872.3928571428573,5759.892857142857,2155.75,2776.4285714285716,3738.8214285714284,2942.6071428571427,2854.4285714285716,3788.6785714285716,3050.1428571428573
d_1050,3989,2829,5955,1905,2922,3687,2780,3577,4834,3685,2013-12-13,4151.071428571428,2868.9285714285716,5760.964285714285,2149.785714285714,2785.714285714286,3726.964285714286,2923.75,2883.3214285714284,3797.25,3054.8214285714284
d_1051,5299,3951,6504,2406,3368,4390,3445,3604,4718,3843,2013-12-14,4143.821428571428,2856.0,5742.392857142857,2146.3928571428573,2780.8214285714284,3707.1071428571427,2900.1785714285716,2872.535714285714,3790.5714285714284,3053.5
d_1052,5172,3782,6734,2255,4071,4861,3490,3377,5478,3877,2013-12-15,4134.607142857143,2850.035714285714,5705.714285714285,2134.3928571428573,2783.8571428571427,3702.214285714286,2892.8928571428573,2882.0714285714284,3851.9285714285716,3073.75
d_1053,4064,2582,5808,2076,2775,3573,2985,2196,3736,2679,2013-12-16,4146.142857142857,2844.0714285714284,5713.321428571428,2124.8571428571427,2785.9285714285716,3711.535714285714,2895.6071428571427,2874.1071428571427,3860.8571428571427,3068.035714285714
d_1054,3479,2375,5279,2020,2522,3463,2653,2469,3561,2517,2013-12-17,4155.214285714285,2848.3214285714284,5728.25,2127.1071428571427,2795.75,3713.6785714285716,2899.464285714286,2873.285714285714,3871.785714285714,3076.464285714286
d_1055,3453,2678,5255,2001,2829,3693,3027,2746,3376,2634,2013-12-18,4167.821428571428,2867.9285714285716,5745.535714285715,2131.285714285714,2815.5714285714284,3731.3214285714284,2915.8214285714284,2883.3928571428573,3879.8928571428573,3085.6428571428573
d_1056,3722,2513,5056,1999,3296,3737,3146,2778,3465,2699,2013-12-19,4187.178571428572,2875.285714285714,5748.178571428572,2134.6071428571427,2849.25,3747.214285714286,2942.1071428571427,2884.285714285714,3891.214285714286,3097.464285714286
d_1057,3903,2823,4985,2065,2727,3497,2830,3143,3532,2618,2013-12-20,4186.535714285715,2870.8928571428573,5733.821428571428,2136.0,2860.964285714286,3741.9285714285716,2946.8571428571427,2889.4285714285716,3879.214285714286,3084.714285714286
d_1058,5361,3748,6147,2420,2984,3892,3054,4858,4246,3764,2013-12-21,4187.5,2860.035714285714,5720.607142857143,2130.6785714285716,2864.0714285714284,3727.9285714285716,2942.714285714286,2930.5714285714284,3885.6785714285716,3095.8214285714284
d_1059,5356,3436,6615,2341,3359,3847,3218,2277,2221,2245,2013-12-22,4189.928571428572,2849.8571428571427,5717.428571428572,2125.535714285714,2872.964285714286,3705.964285714286,2942.0,2897.25,3849.035714285714,3069.535714285714
d_1060,4799,2791,5727,2469,2801,3633,3055,3622,3193,3199,2013-12-23,4217.25,2865.4285714285716,5735.392857142857,2133.6785714285716,2895.0,3735.464285714286,2966.6785714285716,2950.035714285714,3864.5,3093.3571428571427
d_1061,3458,2355,4594,2200,2729,3294,2865,3085,3592,2905,2013-12-24,4193.714285714285,2864.0714285714284,5702.428571428572,2137.1785714285716,2903.6071428571427,3728.214285714286,2965.464285714286,2970.035714285714,3884.1428571428573,3100.214285714286
d_1062,0,2,3,0,1,11,1,1,0,1,2013-12-25,4033.464285714286,2765.1071428571427,5510.928571428572,2049.535714285714,2794.535714285714,3582.214285714286,2830.9285714285716,2850.464285714286,3756.214285714286,2985.714285714286
d_1063,3570,3018,5972,1984,2732,3879,3128,2690,3012,2742,2013-12-26,4076.714285714286,2831.035714285714,5603.892857142857,2070.3214285714284,2813.6785714285716,3633.75,2876.3214285714284,2897.4285714285716,3800.5714285714284,3015.6785714285716
d_1064,4089,2609,5771,2208,2697,3488,3077,3024,3181,2951,2013-12-27,4128.642857142857,2823.0,5670.928571428572,2099.1785714285716,2831.035714285714,3664.3928571428573,2904.6071428571427,2917.714285714286,3802.8928571428573,3027.785714285714
d_1065,4575,3105,6006,2160,3112,4443,2899,3841,3229,3120,2013-12-28,4168.75,2825.535714285714,5697.285714285715,2111.3928571428573,2856.464285714286,3696.535714285714,2920.8214285714284,2934.75,3806.8571428571427,3028.3571428571427
d_1066,4281,3154,6040,1980,2839,4234,2910,2817,3008,2858,2013-12-29,4147.142857142857,2820.5,5685.464285714285,2095.285714285714,2832.3928571428573,3703.1071428571427,2915.3571428571427,2915.0714285714284,3777.4285714285716,3009.785714285714
d_1067,4294,2806,6002,2057,2543,3696,2736,2618,2920,2621,2013-12-30,4132.107142857143,2818.5714285714284,5671.535714285715,2079.5,2827.3214285714284,3707.035714285714,2893.8571428571427,2906.75,3720.964285714286,2972.6785714285716
d_1068,4175,2541,6045,2212,2637,4022,3130,2947,3792,3310,2013-12-31,4130.714285714285,2815.0,5644.75,2076.3928571428573,2812.3214285714284,3704.1071428571427,2886.1071428571427,2916.5714285714284,3674.1428571428573,2955.464285714286
d_1069,2913,2149,4319,1503,2277,3509,2051,1626,1968,1530,2014-01-01,4097.571428571428,2805.25,5604.928571428572,2052.6428571428573,2809.535714285714,3708.9285714285716,2857.8928571428573,2880.75,3610.6785714285716,2913.3214285714284
d_1070,4410,2433,5703,2157,2528,3371,2748,2380,3820,3103,2014-01-02,4118.25,2791.464285714286,5608.071428571428,2054.5714285714284,2791.964285714286,3697.75,2852.1785714285716,2845.5714285714284,3585.3571428571427,2907.1071428571427
d_1071,4703,2775,6378,2126,2820,3834,3493,3680,4950,4111,2014-01-03,4128.714285714285,2784.9285714285716,5616.678571428572,2055.1071428571427,2791.6785714285716,3692.285714285714,2869.6785714285716,2856.285714285714,3598.714285714286,2928.6071428571427
d_1072,5087,3492,7043,2371,3153,4600,3538,4934,5633,4765,2014-01-04,4100.321428571428,2765.25,5600.285714285715,2052.3928571428573,2774.1428571428573,3678.9285714285716,2862.1785714285716,2892.214285714286,3640.8571428571427,2962.035714285714
d_1073,5472,3495,7736,2555,3680,5229,3683,3167,5743,4542,2014-01-05,4100.678571428572,2760.464285714286,5625.535714285715,2048.9285714285716,2775.3571428571427,3700.964285714286,2875.9285714285716,2905.1785714285716,3706.8571428571427,3002.9285714285716
d_1074,4340,2432,6393,2397,2826,3633,3157,1441,3283,2510,2014-01-06,4109.892857142857,2757.964285714286,5639.5,2054.4285714285716,2785.25,3708.285714285714,2885.8928571428573,2872.1071428571427,3664.035714285714,2981.1428571428573
d_1075,4043,2347,5723,2086,2821,3525,2943,1924,2621,2919,2014-01-07,4100.857142857143,2751.4285714285716,5640.714285714285,2050.1785714285716,2796.0,3713.5,2902.75,2858.214285714286,3637.1071428571427,2990.964285714286
d_1076,3607,2538,5912,1896,2573,3321,2866,2834,3886,3540,2014-01-08,4109.464285714285,2753.535714285714,5664.321428571428,2054.1071428571427,2794.5714285714284,3707.5,2914.3928571428573,2871.3928571428573,3631.25,3014.8214285714284
d_1077,3395,2274,5467,2172,2583,3575,2888,3145,3956,3742,2014-01-09,4107.464285714285,2751.1785714285716,5684.714285714285,2072.1785714285716,2793.035714285714,3712.035714285714,2921.285714285714,2885.75,3605.5,3036.785714285714
d_1078,4134,2864,5932,2164,2519,3281,2604,2686,3357,3225,2014-01-10,4112.642857142857,2752.4285714285716,5683.892857142857,2081.4285714285716,2778.6428571428573,3697.535714285714,2915.0,2853.9285714285716,3552.75,3020.3571428571427
d_1079,5582,4043,7737,2722,3713,5028,3935,4334,5894,4810,2014-01-11,4122.75,2755.714285714286,5727.928571428572,2092.714285714286,2790.964285714286,3720.3214285714284,2932.5,2880.0,3594.75,3054.8928571428573
d_1080,5062,3645,7567,2788,4075,5053,3900,4291,5674,4803,2014-01-12,4118.821428571428,2750.8214285714284,5757.678571428572,2111.75,2791.1071428571427,3727.1785714285716,2947.1428571428573,2912.6428571428573,3601.75,3087.964285714286
d_1081,3720,2564,6099,2443,2952,3923,3351,2411,3315,2936,2014-01-13,4106.535714285715,2750.1785714285716,5768.071428571428,2124.8571428571427,2797.4285714285716,3739.6785714285716,2960.214285714286,2920.3214285714284,3586.714285714286,3097.1428571428573
d_1082,3158,2144,5142,2039,2565,3222,2603,2158,3898,3294,2014-01-14,4095.0714285714284,2741.9285714285716,5763.178571428572,2125.535714285714,2798.964285714286,3731.0714285714284,2958.4285714285716,2909.214285714286,3598.75,3124.8928571428573
d_1083,3241,2424,5284,2169,2596,3224,2829,2377,4286,3149,2014-01-15,4087.5,2732.8571428571427,5764.214285714285,2131.535714285714,2790.6428571428573,3714.3214285714284,2951.3571428571427,2896.035714285714,3631.25,3143.285714285714
d_1084,3193,2567,5527,1988,2582,2979,2729,2478,4283,2864,2014-01-16,4068.6071428571427,2734.785714285714,5781.035714285715,2131.1428571428573,2765.1428571428573,3687.25,2936.464285714286,2885.3214285714284,3660.464285714286,3149.1785714285716
d_1085,4137,3335,6021,2308,2696,3390,2724,3031,4127,3471,2014-01-17,4076.964285714286,2753.0714285714284,5818.035714285715,2139.8214285714284,2764.035714285714,3683.4285714285716,2932.6785714285716,2881.3214285714284,3681.714285714286,3179.6428571428573
d_1086,5481,4605,7364,2606,3345,3817,3177,4110,4635,4093,2014-01-18,4081.25,2783.6785714285716,5861.5,2146.464285714286,2776.9285714285716,3680.75,2937.0714285714284,2854.6071428571427,3695.6071428571427,3191.3928571428573
d_1087,4872,3446,6975,2514,3839,3994,3398,3626,3967,3796,2014-01-19,4063.964285714286,2784.035714285714,5874.357142857143,2152.6428571428573,2794.0714285714284,3686.0,2943.5,2902.785714285714,3757.964285714286,3246.785714285714
d_1088,4019,3057,6166,2210,2835,3421,2933,2477,2950,2638,2014-01-20,4036.1071428571427,2793.535714285714,5890.035714285715,2143.3928571428573,2795.285714285714,3678.4285714285716,2939.1428571428573,2861.8928571428573,3749.285714285714,3226.75
d_1089,3089,2103,5457,2144,2387,2665,2352,2091,3074,2492,2014-01-21,4022.9285714285716,2784.535714285714,5920.857142857143,2141.3928571428573,2783.0714285714284,3655.964285714286,2920.8214285714284,2826.3928571428573,3730.785714285714,3212.0
d_1090,3109,2387,5589,2143,2255,2683,2629,2270,2897,2235,2014-01-22,4133.964285714285,2869.714285714286,6120.357142857143,2217.9285714285716,2863.5714285714284,3751.3928571428573,3014.6785714285716,2907.4285714285716,3834.25,3291.785714285714
d_1091,2872,2246,4839,2090,2029,2807,2376,2218,2665,2102,2014-01-23,4109.035714285715,2842.1428571428573,6079.892857142857,2221.714285714286,2838.464285714286,3713.1071428571427,2987.8214285714284,2890.5714285714284,3821.8571428571427,3268.9285714285716
d_1092,3900,2707,5467,2195,2323,2829,2517,2637,3626,2687,2014-01-24,4102.285714285715,2845.6428571428573,6069.035714285715,2221.25,2825.1071428571427,3689.5714285714284,2967.8214285714284,2876.75,3837.75,3259.5
d_1093,4750,4244,6764,2490,2980,3974,3627,4289,3860,3551,2014-01-25,4108.535714285715,2886.3214285714284,6096.107142857143,2233.035714285714,2820.3928571428573,3672.8214285714284,2993.8214285714284,2892.75,3860.285714285714,3274.8928571428573
d_1094,5357,4047,7522,2445,3451,3821,3539,3371,3527,3117,2014-01-26,4146.964285714285,2918.214285714286,6149.035714285715,2249.6428571428573,2842.25,3658.0714285714284,3016.285714285714,2912.535714285714,3878.8214285714284,3284.1428571428573
d_1095,3514,2438,5397,2163,2774,3749,3325,1783,2825,2092,2014-01-27,4119.107142857143,2905.0714285714284,6127.428571428572,2253.4285714285716,2850.5,3659.964285714286,3037.3214285714284,2882.714285714286,3875.4285714285716,3265.25
d_1096,2873,2294,4855,2145,1830,2075,1729,1735,2658,1806,2014-01-28,4072.6071428571427,2896.25,6084.928571428572,2251.035714285714,2821.6785714285716,3590.4285714285716,2987.285714285714,2839.4285714285716,3834.9285714285716,3211.535714285714
d_1097,2621,2151,4282,1887,2133,2410,2231,2230,2804,2234,2014-01-29,4062.1785714285716,2896.3214285714284,6083.607142857143,2264.75,2816.535714285714,3551.1785714285716,2993.714285714286,2861.0,3864.785714285714,3236.6785714285716
d_1098,2846,2181,4783,1904,2312,2695,2435,2476,3168,2217,2014-01-30,4006.3214285714284,2887.3214285714284,6050.75,2255.714285714286,2808.8214285714284,3527.035714285714,2982.535714285714,2864.4285714285716,3841.5,3205.035714285714
d_1099,4359,2853,5403,2327,2646,3268,3420,3462,4780,3971,2014-01-31,3994.035714285714,2890.1071428571427,6015.928571428572,2262.8928571428573,2802.6071428571427,3506.8214285714284,2979.9285714285716,2856.6428571428573,3835.4285714285716,3200.035714285714
d_1100,6511,4580,6091,3298,3701,4711,4217,3788,4886,3550,2014-02-01,4044.8928571428573,2928.964285714286,5981.928571428572,2296.0,2822.1785714285716,3510.785714285714,3004.1785714285716,2815.714285714286,3808.75,3156.6428571428573
d_1101,5090,3714,7841,2655,3307,4082,3732,3654,5358,4464,2014-02-02,4031.25,2936.785714285714,5985.678571428572,2299.5714285714284,2808.8571428571427,3469.8214285714284,3005.9285714285716,2833.1071428571427,3795.0,3153.8571428571427
d_1102,4161,2498,6985,2303,2651,3281,3356,2480,5612,3967,2014-02-03,4024.8571428571427,2939.1428571428573,6006.821428571428,2296.214285714286,2802.6071428571427,3457.25,3013.035714285714,2870.214285714286,3878.1785714285716,3205.8928571428573
d_1103,3461,2365,5938,2199,2209,2770,2713,2328,3668,2926,2014-02-04,4004.0714285714284,2939.785714285714,6014.5,2300.25,2780.75,3430.285714285714,3004.8214285714284,2884.6428571428573,3915.5714285714284,3206.1428571428573
d_1104,3470,2494,5808,1987,2465,2963,2984,2204,4606,2695,2014-02-05,3999.1785714285716,2938.214285714286,6010.785714285715,2303.5,2776.8928571428573,3417.5,3009.035714285714,2862.1428571428573,3941.285714285714,3175.964285714286
d_1105,3566,2385,5633,2261,2479,3268,2605,2495,4755,2942,2014-02-06,4005.285714285714,2942.1785714285716,6016.714285714285,2306.6785714285716,2773.1785714285716,3406.535714285714,2998.9285714285716,2838.9285714285716,3969.8214285714284,3147.3928571428573
d_1106,4235,2597,5543,2266,2820,3805,3046,2897,4212,2834,2014-02-07,4008.8928571428573,2932.6428571428573,6002.821428571428,2310.3214285714284,2783.9285714285716,3425.25,3014.714285714286,2846.464285714286,4000.3571428571427,3133.4285714285716
d_1107,5752,4681,8404,3014,3385,4298,3682,4216,5627,4049,2014-02-08,4014.964285714286,2955.4285714285716,6026.642857142857,2320.75,2772.214285714286,3399.1785714285716,3005.6785714285716,2842.25,3990.8214285714284,3106.25
d_1108,5747,4290,8406,2683,4080,5078,4230,3948,5125,4453,2014-02-09,4039.4285714285716,2978.464285714286,6056.607142857143,2317.0,2772.3928571428573,3400.0714285714284,3017.464285714286,2830.0,3971.214285714286,3093.75
d_1109,4316,2584,6479,2335,2583,3205,2866,2356,3646,2777,2014-02-10,4060.714285714286,2979.1785714285716,6070.178571428572,2313.1428571428573,2759.214285714286,3374.4285714285716,3000.1428571428573,2828.035714285714,3983.035714285714,3088.0714285714284
d_1110,3510,2449,5601,2134,2886,3218,3246,2633,4615,3241,2014-02-11,4073.285714285714,2990.0714285714284,6086.571428571428,2316.535714285714,2770.6785714285716,3374.285714285714,3023.1071428571427,2845.0,4008.6428571428573,3086.1785714285716
d_1111,3465,2620,5612,2192,3290,3989,3815,2695,5395,3665,2014-02-12,4081.285714285714,2997.0714285714284,6098.285714285715,2317.3571428571427,2795.464285714286,3401.6071428571427,3058.3214285714284,2856.3571428571427,4048.25,3104.6071428571427
d_1112,3891,2991,6284,2128,3686,4431,3627,2617,4626,3202,2014-02-13,4106.214285714285,3012.214285714286,6125.321428571428,2322.3571428571427,2834.8928571428573,3453.464285714286,3090.3928571428573,2861.3214285714284,4060.5,3116.6785714285716
d_1113,3659,2688,5202,1844,3058,3575,3030,3131,4490,3233,2014-02-14,4089.1428571428573,2989.1071428571427,6096.071428571428,2305.785714285714,2847.8214285714284,3460.0714285714284,3101.3214285714284,2864.8928571428573,4073.464285714286,3108.1785714285716
d_1114,4900,4147,6444,2308,3908,4539,4279,4420,5629,4391,2014-02-15,4068.3928571428573,2972.75,6063.214285714285,2295.1428571428573,2867.9285714285716,3485.8571428571427,3140.6785714285716,2875.964285714286,4108.964285714285,3118.8214285714284
d_1115,4930,3884,6889,2259,4200,4615,3979,4052,4782,4242,2014-02-16,4070.464285714286,2988.3928571428573,6060.142857142857,2286.035714285714,2880.8214285714284,3508.035714285714,3161.4285714285716,2891.1785714285716,4138.071428571428,3134.75
d_1116,3943,3174,6475,2198,3200,4661,3606,1677,3489,2134,2014-02-17,4067.75,2992.5714285714284,6071.178571428572,2285.6071428571427,2893.8571428571427,3552.3214285714284,3185.464285714286,2862.6071428571427,4157.321428571428,3116.75
d_1117,2988,2385,5370,1976,2530,3207,2819,2667,3709,3059,2014-02-18,4064.1428571428573,3002.6428571428573,6068.071428571428,2279.6071428571427,2898.964285714286,3571.6785714285716,3202.1428571428573,2883.1785714285716,4180.0,3137.0
d_1118,2967,2395,5303,1830,2450,2880,2895,2760,3935,2996,2014-02-19,4059.0714285714284,3002.9285714285716,6057.857142857143,2268.4285714285716,2905.9285714285716,3578.714285714286,3211.6428571428573,2900.6785714285716,4217.071428571428,3164.1785714285716
d_1119,3003,2645,5430,2071,2405,3035,2784,2205,3693,2432,2014-02-20,4063.75,3017.1785714285716,6078.964285714285,2267.75,2919.3571428571427,3586.8571428571427,3226.214285714286,2900.214285714286,4253.785714285715,3175.964285714286
d_1120,3813,2722,5529,2006,2843,3444,3029,2789,4137,3014,2014-02-21,4060.6428571428573,3017.714285714286,6081.178571428572,2261.0,2937.9285714285716,3608.8214285714284,3244.5,2905.6428571428573,4272.035714285715,3187.6428571428573
d_1121,4790,4067,6551,2278,3344,3888,3636,4719,4305,3910,2014-02-22,4062.0714285714284,3011.3928571428573,6073.571428571428,2253.4285714285716,2950.9285714285716,3605.75,3244.8214285714284,2921.0,4287.928571428572,3200.464285714286
d_1122,5055,4036,7316,2502,4099,5110,4125,4027,4357,3800,2014-02-23,4051.285714285714,3011.0,6066.214285714285,2255.464285714286,2974.0714285714284,3651.785714285714,3265.75,2944.4285714285716,4317.571428571428,3224.8571428571427
d_1123,3574,2475,5332,2413,2731,3408,3089,2522,3547,2706,2014-02-24,4053.4285714285716,3012.3214285714284,6063.892857142857,2264.3928571428573,2972.535714285714,3639.6071428571427,3257.3214285714284,2970.8214285714284,4343.357142857143,3246.785714285714
d_1124,3168,2495,5267,2105,2603,3114,2828,2286,3148,2711,2014-02-25,4063.964285714286,3019.5,6078.607142857143,2262.964285714286,3000.1428571428573,3676.714285714286,3296.5714285714284,2990.5,4360.857142857143,3279.1071428571427
d_1125,3018,2025,4246,2005,2086,2636,2447,2493,3277,2118,2014-02-26,4078.1428571428573,3015.0,6077.321428571428,2267.1785714285716,2998.464285714286,3684.785714285714,3304.285714285714,2999.8928571428573,4377.75,3274.964285714286
d_1126,3164,2531,4760,2123,2480,3045,2899,2431,3256,2201,2014-02-27,4089.5,3027.5,6076.5,2275.0,3004.464285714286,3697.285714285714,3320.8571428571427,2998.285714285714,4380.892857142857,3274.3928571428573
d_1127,3495,2857,4877,1925,2817,3851,3146,3244,4763,3223,2014-02-28,4058.6428571428573,3027.6428571428573,6057.714285714285,2260.6428571428573,3010.5714285714284,3718.1071428571427,3311.0714285714284,2990.5,4380.285714285715,3247.6785714285716
d_1128,5724,4693,7830,2734,3834,4524,3899,3984,4726,3548,2014-03-01,4030.535714285714,3031.6785714285716,6119.821428571428,2240.5,3015.3214285714284,3711.4285714285716,3299.714285714286,2997.5,4374.571428571428,3247.6071428571427
d_1129,5516,4298,8145,2893,3713,4499,3994,4180,5337,4202,2014-03-02,4045.75,3052.535714285714,6130.678571428572,2249.0,3029.8214285714284,3726.3214285714284,3309.0714285714284,3016.285714285714,4373.821428571428,3238.25
d_1130,3843,2804,6265,2291,2945,3683,3633,2745,5410,3582,2014-03-03,4034.3928571428573,3063.464285714286,6104.964285714285,2248.5714285714284,3040.3214285714284,3740.6785714285716,3318.964285714286,3025.75,4366.607142857143,3224.5
d_1131,3313,2594,5664,2079,2281,2752,2620,2365,3795,2603,2014-03-04,4029.1071428571427,3071.6428571428573,6095.178571428572,2244.285714285714,3042.8928571428573,3740.035714285714,3315.6428571428573,3027.0714285714284,4371.142857142857,3212.964285714286
d_1132,2949,2269,5127,2051,2894,3356,3015,2246,4536,2835,2014-03-05,4010.5,3063.6071428571427,6070.857142857143,2246.5714285714284,3058.214285714286,3754.0714285714284,3316.75,3028.5714285714284,4368.642857142857,3217.964285714286
d_1133,3263,2453,5203,1921,2904,3225,3350,2768,4457,3118,2014-03-06,3999.6785714285716,3066.035714285714,6055.5,2234.4285714285716,3073.3928571428573,3752.535714285714,3343.3571428571427,3038.3214285714284,4358.0,3224.25
d_1134,4092,2836,5418,2297,2918,3636,3341,3036,3863,3427,2014-03-07,3994.5714285714284,3074.5714285714284,6051.035714285715,2235.535714285714,3076.8928571428573,3746.5,3353.8928571428573,3043.285714285714,4345.535714285715,3245.4285714285716
d_1135,5070,4022,6704,2175,3462,4359,3844,4200,5552,4097,2014-03-08,3970.214285714286,3051.035714285714,5990.321428571428,2205.5714285714284,3079.6428571428573,3748.6785714285716,3359.6785714285716,3042.714285714286,4342.857142857143,3247.1428571428573
d_1136,5913,4223,8737,2996,4471,5339,4365,4028,5871,4147,2014-03-09,3976.1428571428573,3048.6428571428573,6002.142857142857,2216.75,3093.6071428571427,3758.0,3364.5,3045.5714285714284,4369.5,3236.214285714286
d_1137,4372,2452,7195,2411,3031,3796,4077,2664,4249,3259,2014-03-10,3978.1428571428573,3043.9285714285716,6027.714285714285,2219.464285714286,3109.6071428571427,3779.1071428571427,3407.75,3056.5714285714284,4391.035714285715,3253.4285714285716
d_1138,3340,2503,6025,2050,3036,3526,3489,2710,4628,3260,2014-03-11,3972.0714285714284,3045.8571428571427,6042.857142857143,2216.464285714286,3114.964285714286,3790.1071428571427,3416.4285714285716,3059.3214285714284,4391.5,3254.1071428571427
d_1139,3356,2574,6023,2028,3108,3570,3771,2612,4762,3138,2014-03-12,3968.1785714285716,3044.214285714286,6057.535714285715,2210.6071428571427,3108.464285714286,3775.1428571428573,3414.8571428571427,3056.3571428571427,4368.892857142857,3235.285714285714
d_1140,3299,2515,5887,1979,3029,3608,3654,2683,3733,2697,2014-03-13,3947.035714285714,3027.214285714286,6043.357142857143,2205.285714285714,3085.0,3745.75,3415.8214285714284,3058.714285714286,4337.0,3217.25
d_1141,4059,2992,5841,2287,2944,3526,3641,3228,4765,3663,2014-03-14,3961.3214285714284,3038.0714285714284,6066.178571428572,2221.1071428571427,3080.9285714285716,3744.0,3437.6428571428573,3062.1785714285716,4346.821428571428,3232.6071428571427
d_1142,5427,4011,6969,2632,3764,4252,4055,4329,4993,4276,2014-03-15,3980.1428571428573,3033.214285714286,6084.928571428572,2232.6785714285716,3075.785714285714,3733.75,3429.6428571428573,3058.9285714285716,4324.107142857143,3228.5
d_1143,5350,4077,7882,2709,3963,4878,4444,3823,4149,4101,2014-03-16,3995.1428571428573,3040.1071428571427,6120.392857142857,2248.75,3067.3214285714284,3743.1428571428573,3446.25,3050.75,4301.5,3223.464285714286
d_1144,3554,2669,5867,2183,2877,3543,3292,2276,3220,2603,2014-03-17,3981.25,3022.0714285714284,6098.678571428572,2248.214285714286,3055.785714285714,3703.214285714286,3435.035714285714,3072.1428571428573,4291.892857142857,3240.214285714286
d_1145,3187,2483,5443,2048,2780,3104,2927,2297,3099,2727,2014-03-18,3988.3571428571427,3025.5714285714284,6101.285714285715,2250.785714285714,3064.714285714286,3699.535714285714,3438.8928571428573,3058.9285714285716,4270.107142857143,3228.3571428571427
d_1146,3280,2539,4647,2227,2404,3189,3240,2291,3152,2415,2014-03-19,3999.535714285714,3030.714285714286,6077.857142857143,2264.964285714286,3063.0714285714284,3710.5714285714284,3451.214285714286,3042.1785714285716,4242.142857142857,3207.6071428571427
d_1147,3347,2470,4943,1943,2475,3154,2736,2298,3001,2442,2014-03-20,4011.8214285714284,3024.464285714286,6060.464285714285,2260.3928571428573,3065.5714285714284,3714.8214285714284,3449.5,3045.5,4217.428571428572,3207.964285714286
d_1148,3969,2979,5545,2227,2762,3334,3289,2788,3360,2949,2014-03-21,4017.3928571428573,3033.6428571428573,6061.035714285715,2268.285714285714,3062.6785714285716,3710.8928571428573,3458.785714285714,3045.464285714286,4189.678571428572,3205.6428571428573
d_1149,5073,4258,6725,2560,3603,3813,3599,4091,4257,3462,2014-03-22,4027.5,3040.464285714286,6067.25,2278.3571428571427,3071.9285714285716,3708.214285714286,3457.464285714286,3023.035714285714,4187.964285714285,3189.6428571428573
d_1150,5679,4248,7944,2802,3731,4612,3876,3774,3940,3565,2014-03-23,4049.785714285714,3048.035714285714,6089.678571428572,2289.0714285714284,3058.785714285714,3690.4285714285716,3448.5714285714284,3014.0,4173.071428571428,3181.25
d_1151,3953,2524,5991,2204,2717,3403,3194,2558,2954,2345,2014-03-24,4063.3214285714284,3049.785714285714,6113.214285714285,2281.6071428571427,3058.285714285714,3690.25,3452.3214285714284,3015.285714285714,4151.892857142857,3168.3571428571427
d_1152,3316,2442,5180,2045,2536,3124,2742,2040,2824,2217,2014-03-25,4068.6071428571427,3047.8928571428573,6110.107142857143,2279.464285714286,3055.8928571428573,3690.6071428571427,3449.25,3006.5,4140.321428571428,3150.714285714286
d_1153,3081,2549,5037,2075,2185,1232,2879,2358,3317,2301,2014-03-26,4070.8571428571427,3066.6071428571427,6138.357142857143,2281.964285714286,3059.4285714285716,3640.464285714286,3464.6785714285716,3001.6785714285716,4141.75,3157.25
d_1154,3367,2621,5149,1997,2509,4261,2661,2458,3058,2129,2014-03-27,4078.1071428571427,3069.8214285714284,6152.25,2277.464285714286,3060.464285714286,3683.8928571428573,3456.1785714285716,3002.6428571428573,4134.678571428572,3154.6785714285716
d_1155,3926,2959,5507,2292,2525,3232,2839,2967,3758,2913,2014-03-28,4093.5,3073.464285714286,6174.75,2290.5714285714284,3050.035714285714,3661.785714285714,3445.214285714286,2992.75,4098.785714285715,3143.6071428571427
d_1156,4954,4088,6349,2471,3460,3883,3672,4373,4275,3668,2014-03-29,4066.0,3051.8571428571427,6121.857142857143,2281.1785714285716,3036.6785714285716,3638.8928571428573,3437.1071428571427,3006.6428571428573,4082.6785714285716,3147.8928571428573
